X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
-78.7656236647961,35.7748650833952,4337025,03D87387-B1D6-0FC2-D98EF338C873D571,Primo Pizza NY Style,682 CARY TOWNE BLVD,CARY,NC,27511,35.77485801,-78.76562102,19193802729,
-78.6388421737515,35.775089245349,4337026,03EAC77E-F639-BDD0-9AEA1321571A2A41,HARVEST SUNDRIES &amp; DELI,411 FAYETTEVILLE ST,RALEIGH,NC,27601,35.77508217,-78.63883957,19198329720,
-78.621665254127,35.895113413565,4337027,0437B855-D417-62F4-46391C43BC92F92A,Antonio's Gourmet Market & Papas,8460-112 HONEYCUTT RD,RALEIGH,NC,27615,35.89510631,-78.62166264,111111919887,
-78.6889424917,35.7843767430474,4337028,04551FB6-5056-A20B-FA6FAC0A59E74340,DUNKIN' DONUTS #348417,3817 WESTERN BLVD,RALEIGH,NC,27606,35.78436967,-78.68893987,19198586501,
-78.6824910839702,35.8985080061285,4337029,04C66772-F34C-47FE-DF7C7422B3AAD872,BOTTLE MIXX,8111 CREEDMOOR RD,RALEIGH,NC,27613,35.8985009,-78.68248846,19196151703,
-78.5101691730891,35.9775083291133,4337030,04CC8E58-9ACE-3DC6-F01DF61775A1CB9E,WHITE STREET BREWING CO,218 S WHITE ST,WAKE FOREST,NC,27587,35.9775012,-78.51016659,19196479439,
-78.6635465863957,35.7868804186669,4337031,04D9B05A-C331-5A52-99122FA35457268C,CAFE SOO,2106  HILLSBOROUGH ST,RALEIGH,NC,27607,35.78687334,-78.66354397,19198342244,
-78.5701493380643,35.8004620894466,4337032,04DDFEB1-D595-D3B0-5236A77C1D38FC6E,FOUR BROTHERS PIZZA,3919 NEW BERN AVE,RALEIGH,NC,27610,35.800455,-78.57014675,19192310003,
-78.743921505618,35.7882111618856,4337033,04E10D16-9130-8BD5-E43CEB3D7DE37DC5,Sukhadia's Indian Cuisine,6715 Hillsborough Street,RALEIGH,NC,27606,35.78820409,-78.74391886,19193891200,
-78.3781772427402,35.7924518379348,4337034,04E30B2B-A07E-2422-F0D9EDF0B772198B,WENDELL MART,2901 WENDELL BLVD,WENDELL,NC,27591,35.79244475,-78.37817471,19193656686,
-78.835348592151,35.7067613293106,4337035,04EDD59D-EE66-E1B1-0B60F2C425C9662E,SUBWAY,1561 E WILLIAMS ST,APEX,NC,27539,35.70675427,-78.83534593,19193677785,
-78.5087595001564,35.9741973351869,4337036,04F3E596-B231-1D03-93F1694D92A5F804,BROOKS STREET BOWL,413 BROOKS  ST,WAKE FOREST,NC,27587,35.97419021,-78.50875692,19194881651,
-78.7061021641731,35.8607514971971,4337037,04F99854-009D-5139-7286AC66B1ED4DAF,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE,RALEIGH,NC,27612,35.8607444,-78.70609953,19194363995,
-78.6399495930179,35.8369194974156,4337038,05008F2F-FCE8-88F4-5F095F39D806CD3D,THE YARD HOUSE #41,4208 SIX FORKS  RD,RALEIGH,NC,27609,35.83691241,-78.63994698,19198812590,
-78.8866595774621,35.745146329005,4337039,05781571-D58F-1EE2-DB40597F49D3EEEB,SLICE OF NY PIZZA,2045 CREEKSIDE LANDING DR,APEX,NC,27502,35.74513927,-78.8866569,19193870500,
-78.5048304136493,35.9446511736801,4337040,0579154B-C7A1-D375-27348090C7400D84,One Whirled Cafe,3652 Rogers Road,WAKE FOREST,NC,27587,35.94464405,-78.50482784,19195621118,
-78.621665254127,35.895113413565,4337041,05B2BE11-058B-AB3D-017B2DEC467345CE,Crafty Beer Shop,8450 Honeycutt Road,RALEIGH,NC,27615,35.89510631,-78.62166264,19197030874,
-78.7158354132474,35.8711104968332,4337042,05FC4828-D045-412A-668B9DA54E40F115,FLYING BURRITO,4800 GROVE BARTON RD,RALEIGH,NC,27613,35.8711034,-78.71583278,19197852734,
-78.8167635082086,35.80455499447,4337043,0602A9F6-C40F-A0C9-46C8CFDD00DA960D,RUCKUS PIZZA PASTA &amp; SPIRITS #3,1101 MARKET CENTER  DR,MORRISVILLE,NC,27560,35.80454792,-78.81676084,19193883500,
-78.5397733327833,35.8745496702322,4337044,06051288-0BE6-6884-8493B3CB6CA929B8,China Wok,7440-143 Louisburg RD,RALEIGH,NC,27616,35.87454257,-78.53977075,19198629898,
-78.7741160034093,35.5900050004034,4337045,06120DD7-0E13-3205-5876E4A445033F6F,COMFORT INN FUQUAY VARINA BREAKFAST,7616 PURFOY RD,FUQUAY VARINA,NC,27526,35.58999797,-78.77411336,19195579000,
-78.8857886733418,35.8572857430716,4337046,061DBBC8-951E-4450-FE2D44BF5214156E,NET APP CAFE BLDG3,7301 KIT CREEK RD,MORRISVILLE,NC,27560,35.85727866,-78.88578599,19194765671,
-78.6602604127842,35.7899762513847,4337047,062A6A30-E1F1-135E-559A847185DBD6FB,SUGARLAND,2031 CAMERON ST,RALEIGH,NC,27605,35.78996917,-78.6602578,19198352100,
-78.8446117452446,35.7208554131365,4337048,065B70C3-5056-A20B-FA23A6C8033B0DD7,HWY 55 OF APEX,802 PERRY RD,APEX,NC,27502,35.72084835,-78.84460908,19193033533,
-78.5093137545806,35.8936021674123,4337049,0686332A-1422-201B-1921E27F28651CDF,Subway #41217,8410-140 Louisburg RD,RALEIGH,NC,27616,35.89359506,-78.50931118,19192660300,
-78.832928990752,35.6350044133109,4337050,06CE930F-1422-201B-19E1DA19BBC31B7C,Michelangelos,7280 GB Alford  HWY,HOLLY SPRINGS,NC,27540,35.63499737,-78.83292633,19195574992,
-78.5331043325654,35.94802508383,4337051,079E6726-EAF9-7770-92537BA708A7D696,Mackey's Pub,2101 S Main  ST,WAKE FOREST ,NC,27587,35.94801797,-78.53310175,19195625570,
-78.7454809947077,35.765407256894,4337052,07AF62B1-CFE4-B82A-57CE42A324E9E64E,POLAR ICE HOUSE,1410 BUCK JONES RD,RALEIGH,NC,27606,35.76540019,-78.74547835,19194602756,
-78.7807441678529,35.7383708380536,4337053,082054EE-036C-19FC-4F864F10D111D508,TGI Friday's,2002 Kildaire Farm RD,CARY,NC,27511,35.73836377,-78.78074152,19192338883,
-78.7300660894504,35.918513748654,4337054,012DAC8C-F601-1833-85FAF965A9614205,SAMI'S SUBS &amp; MORE,10924 LEESVILLE RD,RALEIGH,NC,27613,35.91850664,-78.73006345,19198484787,
-78.6562034253175,35.7805270892387,4337055,087D3E93-D57B-FAA4-E8C47A3916C49EDA,The Grille At Goodnight's & Goodnight's Comedy Club,861 W Morgan ST,RALEIGH,NC,27603,35.78052001,-78.65620081,111111111111111,
-78.8024668407775,35.8284880894067,4337056,085BF69A-3048-983B-2641CA581B73E5BF,FLIK INTERNATIONAL AT FIDELITY,11000 WESTON PKY,CARY,NC,27513,35.82848101,-78.80246418,19194589264,
