OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2382881,Creech Road Elementary,20.83157541,WAKE COUNTY,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,,,,,,907423.424824904,4497.10341251875
2382882,Oak Grove Elementary,17.1736207,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,748082.917525016,3622.41010395974
2382883,Smith Elementary,16.88228328,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,735392.259741654,3490.86777576134
2382884,Garner Recreational Park,20.3284738,TOWN OF GARNER,GARNER,PARK, , , ,,,,,928777.363963999,6214.40530262228
2382885,Timber Drive Elementary,38.01275679,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,1656019.6008784,5984.26433541633
2382886,Aversboro Elementary,19.02865279,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,828888.115605171,3749.93093596004
2382887, ,1.69374072,TOWN OF GARNER,GARNER,OPEN SPACE, , , ,,,,,73779.3457694268,1690.39670962256
2382888,,7.41981948,OAKS AT BRIER CREEK LLC,RALEIGH,GREENWAY,,EASEMENT,,BRIER CREEK,,,,323207.336570264,6351.01990002001
2382889,,5.44089289,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,237005.294444747,5215.58960185298
2382890,Meredith College,4.16866131,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,181568.5906364,11038.1007206553
2382891,Meredith College,3.572924,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,155634.145053025,4651.06275754968
2382892,,3.4396164,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,WALNUT CREEK,,,,149829.690341485,3447.74922479344
2382893,Richland Creek Greenway,4.00837386,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,RICHLAND CREEK,,,,174604.76523083,3251.56376491794
2382894,Pepsico Property,10.00491782,PEPSI BOTTLING VENTURES LLC,RALEIGH,GREENWAY,,EASEMENT,,,,,,532291.961262024,5408.7208153011
2382895,Crabtree Valley Trail,30.14283314,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,1151925.21679901,9823.47000599164
2382896,Cameron Park,3.39723095,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,147983.380208808,3236.25734888595
2382897,Enloe High School,49.21878252,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,755,,,,,2143970.16672655,6998.44450562635
2382898,Lowery Walnut Creek Trail,11.36029582,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,WALNUT CREEK,,,,494854.485752717,7978.89576299959
2382899,,0.40583787,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,17678.2975994723,987.773409590943
2382900,Crabtree Village Greenway,2.11911578,TOWN OF APEX,APEX,GREENWAY, , , ,,,,,92322.5793645751,1538.68719737842
2382901,Tarbert Gatehouse Trail,2.65566151,TOWN OF CARY,CARY,GREENWAY, , , ,,,,,115680.615286954,2107.53446095039
2382902,White Oak Park,11.83449272,TOWN OF CARY,CARY,PARK,,,,WHITE OAK CREEK,,,,515510.502721434,3432.71534515684
2382903,Powell Drive Park,8.64220679,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,376454.527738543,2512.58149880698
2382904,Hodge Road Elementary,19.98930724,WAKE COUNTY,KNIGHTDALE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,870734.223221966,3984.21759018322
2382905,Spring Park,0.36644491,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,15962.3400791525,495.922743749139
2382906,Davis Drive Park,15.71353199,TOWN OF CARY,CARY,PARK, , , ,WHITE OAK CREEK,,,,684481.453408265,4475.97133387813
2382907,Lions Park,6.14754209,TOWN OF CARY,CARY,PARK, , , ,,,,,267786.933567027,2972.49105105024
2382908,Turner Creek Elementary,19.06266824,WAKE COUNTY,WAKE COUNTY,SCHOOL, , , ,,,,,830369.828626008,4094.44542668603
2382909,Cary High School,38.9622125,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,783,,,,,1697193.9766472,5255.53397125951
2382910,Wake Office Park,45.26531357,WAKE COUNTY,RALEIGH,OPEN SPACE, , ,775,,,,,1971749.95314306,7150.6164748081
2382911,Dutchmans Creek Mitigation Site,90.39481043,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION,DOT, , ,DUTCHMANS BRANCH,,,,3952545.45530833,11085.0594767367
2382912,Stough Elementary,14.00773425,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,610195.4048997,3122.47333893979
2382913,Zebulon Middle School,22.09429786,WAKE COUNTY BOARD OF EDUCATION,ZEBULON,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,769,,,,,962427.614645443,4521.47534245482
2382914,Beckana,1.00827532,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,43920.4728204359,918.35902909874
2382915,Laurel Hills Park,48.18496658,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,2098937.1440415,6272.62969431323
2382916,Crabtree Creek Watershed Project,36.38863591,WAKE COUNTY,RALEIGH,MITIGATION, , ,608,RICHLAND CREEK,,,,1585088.98020576,13113.9725837523
2382917,Varnell Park,0.4421838,STATE OF NORTH CAROLINA,RALEIGH,PARK,,,,,,,,19261.5264616085,620.521075825092
2382918,White Oak & Anderson,0.12865932,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,,,5604.39976717757,305.558819679583
2382919,,2.94029738,TOWN OF GARNER,GARNER,GREENWAY,,,,,,,,128079.353972669,2575.96686906237
2382920,Kingswood Elementary,6.95324911,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,302883.531081939,3306.33359483743
2382921,Fred Fletcher Park,22.64582628,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,986452.192730065,4483.46546125017
2382922,Mingo Creek Greenway,16.56913149,TOWN OF KNIGHTDALE,KNIGHTDALE,GREENWAY,,,,MINGO CREEK,,,,721751.367617965,5290.68611577876
2382923,Mingo Creek Greenway,2.08308931,"FAISON, O WILLIAM ET AL",KNIGHTDALE,GREENWAY,,,,MINGO CREEK,,,,90739.3702283817,6260.6581643221
2382924,,0.03730965,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,,,1625.20826643685,254.228855564841
2382925,Mordecai Square,2.70238655,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,117715.958173643,1412.19958953112
2382926,Neuse River Greenway,98.13557402,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,,,3955196.46958757,11135.9125723341
2382927,Weatherstone Elementary,19.93835795,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,868514.872360087,4656.87592601379
2382928,Carver Elementary,19.60719148,WAKE COUNTY BOARD OF EDUCATION,WENDELL,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,83,,,,,854089.235931803,4126.97865225505
2382929,Mordecai Annex,1.05231682,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,45838.9205187835,869.97202889699
2382930,Isabella Cannon Park,3.52811674,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,153662.633775791,2179.4030013949
2382931,Broughton High School,26.24078348,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,781,,,,,1143048.52835417,5783.42930395916
2382932,Rose Garden Park,6.80476739,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,296415.667584411,2429.69204615155
2382933,Olive Chapel Elementary,17.69012869,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,770582.005667153,3534.88588431982
2382934,Kelly Road Park,27.00448181,TOWN OF APEX,APEX,PARK, , , ,BEAVER CREEK,,,,1146418.32412633,4855.11904780771
2382935,Barwell Road Park,57.12322004,CITY OF RALEIGH,RALEIGH,PARK, , ,98,,,,,2488287.46509998,9741.32299084216
2382936,Jones Park,6.28289693,TOWN OF APEX,APEX,PARK, , , ,,,,,273682.990159793,2202.68807735932
2382937,Jaycee Park,22.86079298,TOWN OF APEX,APEX,PARK, , , ,,,,,995808.576182261,5835.95382444718
2382938,Gill Street Park,1.42248645,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,,,61963.5095701494,998.634715808948
2382939,East Wake Middle School,26.43170753,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,754,,,,,1153608.25296641,4810.83119867985
2382940,Alvis Farm,72.93399336,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,,,3196938.24309071,11985.6057026674
2382941, ,3.21266648,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,,,139943.751699231,2524.11819703423
2382942, ,11.10814703,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,MARSH CREEK,,,,483870.884625674,4262.33255265022
2382943,Brentwood Trail,8.11646123,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,,,353552.130227605,3846.68296558375
2382944,Root Elementary,7.81949533,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,340593.959867991,2430.53773459047
2382945,Little River Park,23.08732235,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,,,988135.655197934,5247.99985254694
2382946,Cedar Fork District Park,37.78918072,TOWN OF MORRISVILLE,MORRISVILLE,PARK, , ,124,CRABTREE CREEK,,,,1552912.65484295,9604.81843886827
2382947, ,0.0392094,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY, , , ,,,,,1707.9615357284,237.439082583336
2382948,Marsh Creek Park,108.61448323,CITY OF RALEIGH,RALEIGH,PARK, , , ,ROCKY CREEK,,,,4731246.88946975,12439.8403874604
2382949,Black Creek Greenway,16.21835497,TOWN OF CARY,CARY,GREENWAY, , , ,,,,,706112.027949747,6652.36503215221
2382950, ,1.64998136,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,BIG BRANCH,,,,71873.1882328725,2740.76781560632
2382951,Zebulon Community Park,47.59935975,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,,,2073436.55082663,7988.39531995534
2382952,Morrisville Elementary,24.6408767,WAKE COUNTY,MORRISVILLE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,762,,,,,1073356.58912866,4200.87910532866
2382953,NCSU Agriculture Research Land,71.16264093,NORTH CAROLINA STATE UNIVERSITY,CARY,RESEARCH,NCSU, , ,,,,,3099844.63895586,8650.19175771712
2382954,Highcroft Drive Elementary,22.42556806,TOWN OF CARY,CARY,SCHOOL, , , ,,,,,976857.744605707,4158.21242208347
2382955,Jaycee Park,24.85006297,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,1082468.74311201,4844.07644282678
2382956,N Smith Creek Greenway,4.00740531,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,,,,,174559.804939668,2822.27247571177
2382957,Clairmont Park,1.35565203,TOWN OF APEX,APEX,PARK,,,,,,,,59052.2026269321,1094.39777655607
2382958,Washington Elementary,17.31985924,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,,,754453.068609281,3865.19943092548
2382959,,5.59064713,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,243528.588865405,2303.07086001196
2382960,,0.38024333,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,16563.3993557122,518.782654070374
2382961,J B Flaherty Park,111.49897211,TOWN OF WAKE FOREST,WAKE FOREST,PARK,,,,,,,,4856895.22500228,10825.1193507705
2382962,Longview Gardens Elementary,6.95115845,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,302792.46215603,2819.79896007251
2382963,Mingo Creek Greenway,30.6135661,TOWN OF KNIGHTDALE,KNIGHTDALE,GREENWAY, , , ,MINGO CREEK,,,,1333526.93926338,6690.48764749226
2382964,Knightdale Elementary,7.87207569,WAKE COUNTY BOARD OF EDUCATION,KNIGHTDALE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,129,,,,,342907.617127565,2559.650323082
2382965,OS-030,78.844291,TOWN OF WENDELL,WENDELL,OPEN SPACE, ,PARTNERSHIP,950,BUFFALO CREEK,OS-030,,2019/06/27 15:17:36+00,3434457.31574711,9218.34406841639
2382966,Wiley Elementary,6.44580211,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,280779.139850189,2446.23667478194
2382967, ,0.09611169,CITY OF RALEIGH,RALEIGH,, , , ,,,,2019/06/27 15:17:45+00,4186.62543058476,281.61430869877
2382968,,4.84240771,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,210935.279925274,1865.49986087073
2382969,Fischer Mini Park,0.27357657,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,11916.995442947,458.527747380231
2382970,Lee Street Park,0.28928236,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,26945.8329913162,670.002882110872
2382971,Carnage Middle School,17.33393271,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,750,,,,,755066.108778899,3532.49245075889
2382972, ,3.58927588,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,156348.85716696,2138.7759720984
2382973,Neuse River Greenway,11.22955568,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,,,489159.445244985,3202.48851470821
2382974,Walnut Creek Greenway Corridor,96.05657228,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,WALNUT CREEK,,,,3294563.64478962,13639.5370011959
2382975,Rocky Branch Trail,10.32927682,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,ROCKY BRANCH,,,,449943.298234428,6637.40048508442
2382976,Anderson Point Park,76.96525628,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,,,3356943.51863763,8122.19925225301
2382977, ,5.73703134,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,249905.085297638,2210.6395892983
2382978,Rose Street Park,0.63384371,TOWN OF CARY,CARY,PARK, , , ,,,,,27610.2319150681,946.250823402137
2382979,Eliza Pool Neighborhood Park,5.89386303,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,256736.673396877,2733.73371267933
2382980, ,3.47164975,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,151074.76104792,2949.23725413932
2382981,Lenoir Street Park,0.31546718,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,13741.7504050751,482.645683709081
2382982,Hunt Community Center,10.15728072,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK,,,,,,,,442449.636539363,3270.57953057377
2382983,Long Acres,3.0109129,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,131155.365817985,1902.25079760555
2382984,Lake Johnson Metro Park,469.14206955,CITY OF RALEIGH,RALEIGH,PARK, ,PARTNERSHIP,,WALNUT CREEK,,,,20456103.1891399,30104.9973946928
2382985,Historic Oakview,27.77587922,WAKE COUNTY,RALEIGH,PARK, , ,903,,,,,1209917.29866729,5193.04097081558
2382986,Bass Lake Retreat Center,89.32569144,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK, ,, ,,,,,3890437.49796007,14584.677508797
2382987,Harris Lake County Park,592.72931082,WAKE COUNTY,WAKE COUNTY,PARK, , ,38,WHITE OAK CREEK,,,,25819288.7792599,39021.6670366427
2382988,Underhill Mitigation Site,140.88545891,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION,DOT, , ,SWIFT CREEK,,,,7106219.91062936,16287.0548055047
2382989,Terrible Creek Trail,25.71256926,FUQUAY VARINA AMERICAN LEGION,FUQUAY-VARINA,GREENWAY,FUQUAY VARINA AMERICAN LEGION, , ,TERRIBLE CREEK,,,,1120039.51712439,4877.85894195922
2382990,Fuquay-Varina Elementary,8.35626458,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,128,,,,,363998.885007817,2833.41736450832
2382991,Fuquay-Varina High School,47.61331924,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,788,,,,,2074036.18609245,7025.13068422247
2382992,Willow Springs School Park,23.08669691,WAKE COUNTY,WAKE COUNTY,PARK,WAKE COUNTY BOARD OF EDUCATION, ,137,,,,,1005656.51721136,5854.21953248162
2382993,Action Park,16.90764626,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,,,736219.269378121,5924.66691780051
2382994,Lincoln Heights Elementary,9.82499404,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,427976.740207581,2688.76905777577
2382995,Fuquay-Varina Middle School,11.79782722,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,513913.353800142,3172.87522842728
2382996,Falcon Park,4.88466014,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,,,212775.795495237,3274.41971346891
2382997,,2.27359117,TOWN OF CARY,CARY,OPEN SPACE,,,,,,,,99037.6312853509,1690.75926791064
2382998,Alvis Farm,41.18550514,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,,,1821343.6980167,6317.84326147661
2382999,Knightdale Swim Club,18.10452241,TOWN OF KNIGHTDALE,KNIGHTDALE,PARK,,,,NEUSE RIVER,,,,791074.549135291,4223.14896657552
2383000,East Wake High School,70.07692701,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY,,753,,,,,3052550.94044752,8285.8482664935
2383001,OS-057,83.14960754,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,952,LITTLE RIVER,OS-057,,,3621996.90432659,9666.40812268758
2383002,OS-019,1.47575546,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT ,,LITTLE RIVER,OS-019,,,64283.9076559296,1053.18858611962
2383003,OS-043,76.95811508,WAKE COUNTY,GARNER,OPEN SPACE,,EASEMENT,958,STEEP HILL CREEK,OS-043,,,3352295.49290717,10996.9103904339
2383004,,2.02895114,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,88381.1115952992,2167.37627363011
2383005,,0.12046578,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,5247.48952929191,364.484102571535
2383006,,0.15865939,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,,,6911.20306732586,337.353672335154
2383007,,1.61108601,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,,,,,,,70178.918011149,1169.37770804737
2383008,FEMA HMGP Phase 1-7,0.78549117,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,34215.9955031803,757.866299977155
2383009,Thompson Road Park,12.37738865,TOWN OF GARNER,GARNER,PARK, , , ,,,,,539426.782866272,3635.96882560833
2383010, ,3.43505504,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,GREENWAY, , , ,MIDDLE CREEK,,,,149630.997712127,1731.72627997054
2383011,Lake Benson Park,63.92039925,TOWN OF GARNER,GARNER,PARK, , , ,SWIFT CREEK,,,,2784372.59135252,7550.25591238418
2383012,,8.77893278,STATE OF NORTH CAROLINA,RALEIGH,OPEN SPACE,,,,,,,,382410.312055178,3815.64167234956
2383013, ,37.45419541,CITY OF RALEIGH,GARNER,MITIGATION, , , ,SWIFT CREEK,,,,1631504.75201821,8257.67686447218
2383014, ,17.46131835,TOWN OF GARNER,GARNER,MITIGATION, , , ,SWIFT CREEK,,,,760615.027316227,3552.66478039857
2383015,West Lake Schools,61.59923255,WAKE COUNTY,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,799,,,,,2683262.56978054,7596.69437543673
2383016,Rand Road Elementary,27.05343719,WAKE COUNTY,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,2018/06/25 18:22:24+00,1175063.69942816,5249.44032659752
2383017,Holly Springs Elementary,19.29141435,WAKE COUNTY BOARD OF EDUCATION,HOLLY SPRINGS,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,95,,,,,840334.009096715,3670.78553781933
2383018,Holly Ridge Middle & Elementary,35.50851836,WAKE COUNTY BOARD OF EDUCATION,HOLLY SPRINGS,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,90,,,,,1546751.0595636,5402.73988806955
2383019,Parrish Womble Park,43.40050759,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK, , , ,,,,,1890530.61609151,5677.90841716556
2383020,,0.44497563,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,19383.1382411446,699.905811854281
2383021,,0.75757493,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,32999.9638493866,935.248697376855
2383022,,0.4056874,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,17671.7430535134,749.481079358154
2383023,,0.48590833,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,21166.1669731912,849.752913220668
2383024,Swift Creek Greenway,9.0371437,TOWN OF CARY,CARY,GREENWAY,,,,,,,,393657.996588806,4225.04105710003
2383025,,0.20229665,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,,,8812.04194446235,387.599261184896
2383026,,0.35850423,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,15616.4444099606,527.520526812119
2383027,,0.37888134,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,16504.0711166246,600.384685950189
2383028,,21.2588332,STATE OF NORTH CAROLINA,CARY,OPEN SPACE,,,,,,,,926034.774093431,3926.87172855654
2383029,,30.4401637,STATE OF NORTH CAROLINA,CARY,OPEN SPACE,,,,RICHLAND CREEK,,,,1325973.53097045,6772.47918413436
2383030,,0.02198881,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,957.832688253223,135.914420747917
2383031,,0.04734487,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,2062.34233383258,185.351477253159
2383032,,0.3789525,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,16507.170957765,548.646892172391
2383033,Carolina Mudcats Stadium,46.44694712,TOWN OF ZEBULON,ZEBULON,,,,,,,,2019/06/27 15:17:56+00,2023229.01642246,5984.11439679517
2383034,,4.98881625,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,217312.835998378,3945.18650734965
2383035,,3.41390721,CITY OF RALEIGH ,RALEIGH,GREENWAY,,EASEMENT,,HARE SNIPE CREEK,,,,148709.79801395,3986.61411387227
2383036,,0.37914595,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,,,16227.7609373185,514.662590880444
2383037,,0.46970368,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,20460.292361127,727.477583773373
2383038,,1.14302665,STATE OF NORTH CAROLINA,RALEIGH,OPEN SPACE,,,,,,,,49790.2407072563,1062.69440136135
2383039,,0.07257852,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,3161.52016836073,287.244348067891
2383040,New Light Creek Mitigation Plan,20.78643111,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION,,,,NEW LIGHT CREEK,,,,905456.939121944,5105.09873786078
2383041,,1.47872791,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,64413.3876020504,2284.54198027347
2383042,Jordan Lake,426.4946528,UNITED STATES OF AMERICA,WAKE COUNTY,GREENWAY,US ARMY CORPS OF ENGINEERS, , ,,,,,18578107.6227308,34420.0316215903
2383043,,0.16436771,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,,,7159.87853816601,669.175888433932
2383044,,3.59387707,TOWN OF ROLESVILLE,ROLESVILLE,,,,,,,,2019/06/27 15:18:10+00,156549.285090994,2339.3995721807
2383045,,1.33038569,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,57951.6007179278,1820.2034574365
2383046,,0.20952086,TOWN OF CARY,CARY,GREENWAY,,,,,,,,9126.72856259935,608.275256932411
2383047,,16.69757927,JT HOBBY & SONS INC ETAL,MORRISVILLE,GREENWAY,,,,CRABTREE CREEK,,,,727346.553200734,7723.21199521899
2383048,Future Park,24.13133661,TOWN OF CARY,CARY,PARK,,Planned Park,,SPEIGHT BRANCH,,,,1051161.02292274,6667.96602856799
2383049,Buck Jones,2.33487684,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,101707.234936927,1799.61721899566
2383050,,0.18358347,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,7996.89607448399,445.54947241592
2383051,,0.19822094,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,8634.50424904302,395.648013579794
2383052,,1.24187786,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,54096.1996247864,966.604275811347
2383053,,1.48918502,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,64868.8996693892,1035.09577558813
2383054,,2.78083436,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,121133.144677863,1554.25049924949
2383055,,2.49253243,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,108574.712835072,1479.10540657345
2383056,,2.73738925,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,119240.675895216,1945.11087631964
2383057,,1.69190829,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,73699.5252669427,1305.51997333298
2383058,,2.93023226,CITY OF RALEIGH,GARNER,OPEN SPACE,,,,STEEP HILL CREEK,,,,127640.917210286,1747.87591808326
2383059,FEMA HMGP Phase 1-5,1.23350089,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,53731.2989715586,1027.84897027658
2383060,Tucker House,0.67200215,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,29272.4136055913,697.530945981954
2383061,OS-052,5.43665956,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,HOMINY CREEK,OS-052,,,236820.904872893,2499.4358965926
2383062,,0.54749011,"PRICE, RACHEL B",WAKE COUNTY,OPEN SPACE,,,,,,,,23848.6693660472,696.506998160387
2383063,,0.767169,TOWN OF GARNER,RALEIGH,OPEN SPACE,,,,,,,,33417.8218870893,1001.52390888346
2383064,,4.01456295,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,174874.362050526,4427.84005275051
2383065,Greenway,1.22022225, TOWN OF APEX,APEX,GREENWAY,,,,,,,,53148.3710053789,1472.7641243003
