OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2383389,Purnell Road Greenway,8.15397027,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,RICHLAND CREEK,,,,355170.052989054,7437.15113791325
2383390,City of Raleigh Greenway,7.35720096,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,320479.673609131,4361.64513023219
2383391,City of Raleigh Greenway,5.92340068,WARREN WILSON & CO,RALEIGH,OPEN SPACE,CITY OF RALEIGH,,,,,,,265598.529042302,4091.23477550452
2383392,,15.25461072,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,Crabtree Creek Marsh Creek Trib D,,,,664490.842754382,10658.2788490155
2383393,,6.19279086,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,266274.579456425,2775.69764605759
2383394,City of Raleigh Greenway,0.30311193,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NR Buffaloe Road Branch,,,,13203.5558091829,498.901509133881
2383395,,2.49414518,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NR Buffaloe Road Branch,,,,108644.964257358,2818.74608810621
2383396,,0.37494779,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NR Buffaloe Road Branch,,,,16332.725534078,813.619436508526
2383397,Middle Creek Schools,11.91370988,WAKE COUNTY BOARD OF EDUCATION,CARY,PARK,WAKE COUNTY BOARD OF EDUCATION, ,135,,,,,518961.127929546,4505.2247409507
2383398,Bryan Road Elementary School,49.94691431,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,,,,,,,2021/09/16 14:01:07+00,2175692.77912038,6982.31600121266
2383399,Alston Ridge Elementary School,18.35295409,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,,,,,,,,799274.619788379,3926.65387734041
2383400,OS-089,68.16799771,TOWN OF WAKE FOREST,WAKE COUNTY,OPEN SPACE,,PARTNERSHIP,,NEUSE RIVER,OS-089,,,2969397.98006146,6737.60089838346
2383401,Future Park,43.17846103,TOWN OF CARY,CARY,PARK,TOWN OF CARY,Planned Park,,,,,,1880730.06802262,8137.78186659852
2383402,George F Marshall Memorial Park,11.86769991,CITY OF RALEIGH,RALEIGH,PARK,,,,HOUSE CREEK,,,,516955.745992361,5264.8589232182
2383403,Future Park Site,50.64964664,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK,,,,MIDDLE CREEK,,,,2205911.17794044,8620.02347756622
2383404,Pulllen Park,68.53286878,CITY OF RALEIGH,RALEIGH,PARK,,,,,,,,2985287.16092975,11911.4258057283
2383405,,0.19760743,TOWN OF CARY,CARY,GREENWAY,,,,,,,,8607.77958425545,529.715119720877
2383406,,0.83886096,TOWN OF CARY,CARY,GREENWAY,,,,,,,,36540.7832213128,1473.89810646952
2383407,,0.88774791,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,,,38670.2991355463,794.620147258038
2383408,,0.17183945,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,,,7485.32632051685,375.648327536788
2383409,,0.11358632,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,,,4947.82026328477,299.572932236879
2383410,,5.01405585,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,GREENWAY,,,,RICHLAND CREEK,,,,218406.010603141,2551.72166522503
2383411,,4.53295471,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,197455.507259918,3976.06201757839
2383412,,1.5759173,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,68646.9576204658,1644.32060005468
2383413,,0.54531807,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,23756.0564553769,712.444651562047
2383414,,0.09284827,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,4043.66566578113,411.093532160879
2383415,OS-090,55.32907356,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,THE TRUST FOR PUBLIC LAND,FEE SIMPLE,,MARKS CREEK,OS-090,,,2410134.44407867,8172.96570582875
